,ShoulderDiam,AbdomenDiam,HipsDiam,ChestDiam,ElbowDiam,WristDiam,KneeDiam,AnkleDiam,ShoulderCircum,ChestCircum,WaistCircum,AbdomenCircum,HipCircum,ThighCircum,BicepCircum,ForearmCircum,KneeCircum,CalfCircum,AnkleCircum,WristCircum,Age,Weight,Height,Gender,BMI,BodyFat,SommaPliche,Endomorfism,Mesomorfism,Ectomorfism
121,24.09,16.06,17.93,16.72,8.03,6.44,11.0,8.36,117.3,95.8,83.7,84.2,98.4,56.2,33.7,28.0,38.0,39.6,25.8,17.6,30,78.6,177.8,1,24.86,14.86,83.17,6,6,1
122,23.16,15.68,17.44,15.4,7.7,6.22,10.45,7.92,115.0,98.6,76.7,85.8,93.3,56.0,35.7,27.6,34.7,34.6,20.6,16.0,26,71.8,177.8,1,22.71,12.0,65.47,5,5,2
123,23.87,17.6,19.91,19.58,8.86,6.93,12.65,8.97,134.8,118.7,105.2,105.0,115.5,69.9,39.4,32.1,42.2,47.7,27.0,19.2,27,116.4,177.8,1,36.82,32.05,189.05,10,10,0
124,21.29,14.74,17.33,15.29,7.59,5.94,10.01,7.32,113.8,100.9,90.6,93.3,97.7,58.0,34.8,28.0,34.1,35.8,22.2,16.3,33,72.2,163.8,1,26.91,20.05,113.41,8,7,0
125,21.78,15.79,17.82,15.57,8.36,6.49,10.78,8.14,119.4,98.5,85.7,92.9,98.6,55.5,35.3,28.7,39.3,35.9,23.0,17.4,29,83.6,188.0,1,23.65,14.04,78.14,6,5,2
126,23.87,16.83,18.1,15.57,8.25,6.6,11.28,9.46,117.9,96.9,82.5,90.8,94.9,54.4,32.8,28.7,39.2,37.0,27.5,17.9,27,85.5,198.1,1,21.79,10.67,58.16,4,4,4
127,22.28,16.34,17.44,17.93,8.36,6.22,11.66,8.36,127.3,110.7,94.7,92.0,101.3,60.1,37.2,30.9,40.5,40.0,24.2,17.6,34,90.9,175.3,1,29.58,21.93,126.49,8,8,0
128,22.16,16.72,18.81,18.7,7.48,6.6,10.56,7.59,118.8,108.0,105.2,103.4,108.1,60.5,38.0,30.2,36.9,37.7,21.6,18.3,42,85.9,166.4,1,31.02,27.51,158.72,10,7,0
129,24.31,16.83,18.59,17.82,8.42,6.33,11.5,9.08,122.4,109.0,86.0,90.2,98.0,59.5,40.0,31.2,38.3,39.0,25.8,19.5,29,89.1,190.5,1,24.55,13.96,78.44,5,6,2
130,22.71,14.74,17.71,17.11,7.48,6.05,10.51,8.25,111.5,104.2,90.9,92.7,100.2,51.8,30.1,26.8,38.1,36.4,23.2,16.3,41,75.0,166.4,1,27.09,20.58,116.66,8,6,0
131,21.89,14.08,17.22,17.6,7.7,6.16,11.66,9.02,113.2,100.5,92.4,92.4,97.0,50.9,32.9,29.0,37.7,37.7,23.4,17.0,43,77.7,177.8,1,24.58,16.85,94.31,7,6,1
132,22.71,15.95,17.71,16.94,7.92,6.05,10.84,8.69,115.3,105.7,96.5,98.2,97.4,54.3,31.9,28.5,37.7,39.3,24.5,17.1,43,86.4,179.7,1,26.76,20.12,114.48,8,5,1
133,21.39,15.13,18.1,18.32,8.03,6.05,11.28,8.42,122.5,112.4,98.4,101.5,107.9,67.4,39.2,30.5,42.6,40.7,25.3,17.5,29,90.9,172.7,1,30.48,24.61,142.16,9,8,0
134,22.61,14.08,16.45,13.86,7.76,5.88,10.45,8.3,114.4,96.2,76.7,83.5,93.9,50.4,32.1,27.7,36.1,32.9,23.2,17.0,27,73.6,190.5,1,20.28,8.2,42.77,3,3,4
135,22.83,16.83,19.69,15.4,8.25,6.49,11.55,8.58,112.8,97.5,94.8,98.2,98.6,48.3,31.1,27.0,37.7,36.8,24.6,18.4,62,76.4,185.4,1,22.23,16.36,90.24,6,5,3
136,21.18,15.29,17.44,14.52,7.21,6.05,10.12,8.14,112.2,90.9,80.1,79.8,91.3,56.2,32.9,27.2,36.2,33.0,23.0,16.8,33,69.1,168.9,1,24.22,14.2,78.6,6,5,1
137,21.67,16.34,18.21,16.72,7.81,6.38,11.22,8.25,119.4,108.4,97.4,103.7,105.3,55.6,36.6,28.4,38.2,36.6,22.9,18.1,45,84.5,167.6,1,30.08,26.45,152.12,9,7,0
138,22.5,14.36,15.13,15.4,7.26,5.72,10.23,8.14,108.4,94.3,73.7,74.5,88.2,52.3,29.6,26.2,35.2,36.2,21.2,16.2,30,64.5,175.3,1,20.99,8.47,44.15,3,4,3
139,22.61,12.65,16.17,16.83,8.25,5.94,10.62,7.98,122.4,109.1,76.1,90.1,93.3,51.7,37.0,30.6,36.8,37.7,23.6,18.5,20,69.1,170.2,1,23.85,13.69,75.55,6,8,1
140,23.98,15.4,17.82,18.43,8.03,6.44,11.77,8.3,128.8,115.0,95.6,101.9,107.9,64.6,37.1,30.0,41.8,39.6,24.7,18.2,22,108.6,190.5,1,29.93,21.47,124.84,8,5,0
141,21.89,15.95,19.2,15.57,7.87,6.44,10.89,8.47,118.0,104.4,101.0,98.9,103.3,54.4,38.1,29.8,39.7,41.8,25.0,19.6,51,86.4,177.8,1,27.33,21.96,125.21,8,7,0
142,23.16,15.29,17.44,15.79,7.87,6.33,10.78,8.58,116.5,100.1,84.5,84.5,94.4,54.7,33.9,28.6,38.5,37.6,25.0,17.7,34,80.9,190.5,1,22.29,11.1,60.64,4,4,3
143,22.61,14.91,18.59,16.17,7.92,6.82,9.9,8.3,120.4,108.4,98.0,101.8,101.5,56.9,38.2,29.9,37.7,39.2,24.9,17.6,44,87.7,177.8,1,27.74,22.17,126.68,8,6,0
144,24.31,16.72,20.08,17.33,8.47,6.38,11.22,8.47,123.1,107.3,101.6,103.8,110.0,57.8,34.9,28.9,40.3,40.0,23.7,18.1,46,94.5,184.2,1,27.85,22.47,128.77,8,6,1
145,21.39,14.74,17.33,15.95,7.48,5.94,10.39,8.36,117.2,101.8,87.8,90.2,98.4,55.6,33.1,28.4,38.2,37.7,24.5,17.1,34,80.2,176.5,1,25.74,17.17,96.88,7,5,1
146,22.06,15.79,17.71,16.17,8.36,6.49,11.38,8.47,113.0,94.5,80.0,85.0,95.0,52.0,31.5,26.5,36.9,36.4,22.9,17.0,32,72.0,177.8,1,22.78,12.64,69.18,5,6,2
147,21.29,14.74,17.33,15.29,7.1,5.72,9.9,7.87,109.4,91.7,81.8,82.9,98.3,56.3,31.0,25.7,35.0,33.0,22.0,15.5,28,71.4,180.3,1,21.96,11.0,59.38,4,3,3
148,19.58,14.52,16.94,16.17,8.03,6.33,10.78,8.42,105.7,95.9,84.4,86.8,99.0,55.0,30.5,26.4,36.1,38.4,21.3,16.4,31,72.7,171.4,1,24.75,15.72,87.71,7,6,1
149,22.28,14.74,16.83,17.82,8.25,6.49,11.22,8.69,119.7,110.5,85.0,83.5,95.7,59.0,39.2,29.9,37.9,37.7,23.8,17.1,29,84.1,172.7,1,28.2,18.45,105.62,7,8,0
150,22.61,13.97,17.6,15.79,7.87,6.82,10.78,7.87,118.0,104.0,90.0,86.0,96.0,52.5,33.5,29.1,36.0,36.9,23.0,18.0,42,76.8,172.7,1,25.75,17.27,97.24,7,6,1
151,21.29,14.36,16.06,13.7,7.48,5.72,9.68,7.81,104.3,86.8,72.9,73.4,89.5,51.0,29.8,24.8,32.6,33.1,22.1,16.3,29,63.6,177.8,1,20.12,7.35,37.26,3,4,4
152,21.39,14.91,16.72,15.79,8.14,6.44,10.67,8.03,114.1,106.7,81.0,80.2,93.7,54.8,35.5,30.6,36.9,37.3,22.7,16.8,31,80.9,177.8,1,25.59,14.57,82.05,6,6,1
153,21.67,16.34,18.21,17.33,8.58,6.6,10.73,8.14,119.0,102.5,86.5,89.0,97.0,57.0,34.0,28.4,38.0,37.0,22.5,17.4,30,80.9,182.9,1,24.18,14.23,79.37,6,6,2
154,20.68,15.29,17.71,17.22,8.03,6.05,11.83,8.69,113.8,103.0,93.9,98.6,103.6,60.5,34.4,28.5,40.9,40.8,24.6,17.1,27,85.5,170.2,1,29.52,23.25,133.7,9,8,0
155,21.89,14.25,17.22,16.06,7.87,6.16,10.29,7.87,118.0,95.0,77.0,78.0,93.0,52.0,32.6,28.4,34.4,34.4,20.0,16.5,25,68.6,167.6,1,24.42,13.41,74.19,6,6,1
156,22.16,15.02,16.72,15.95,8.25,6.22,10.51,8.03,116.0,99.0,75.0,75.0,90.0,50.6,32.0,27.3,33.8,34.0,22.0,17.0,24,67.7,175.3,1,22.03,9.16,48.79,4,6,2
157,22.16,13.86,16.06,15.68,7.26,5.61,10.39,7.87,108.3,89.7,80.6,80.8,90.0,55.5,28.9,25.0,34.6,37.4,23.0,16.4,33,66.4,165.1,1,24.36,14.8,81.97,6,6,1
158,24.09,16.72,19.2,18.32,8.47,6.38,9.79,8.03,129.2,111.5,100.5,107.3,109.5,61.8,37.4,31.6,41.0,39.7,25.4,18.4,45,102.3,185.4,1,29.76,24.92,144.06,9,5,0
159,22.61,15.29,18.1,14.74,8.03,6.16,10.73,8.69,109.2,94.1,81.2,84.0,91.6,51.5,33.0,27.0,35.2,35.5,23.1,16.3,37,70.5,181.6,1,21.38,10.95,58.74,4,5,3
160,22.94,16.83,19.09,17.6,8.2,5.94,10.39,7.76,124.3,118.3,103.4,106.2,108.5,60.5,35.4,29.7,42.3,40.8,24.8,17.1,44,95.9,172.7,1,32.15,28.54,165.66,10,7,0
161,24.97,16.94,19.58,16.34,8.36,5.94,10.23,8.25,122.6,106.5,90.3,101.1,101.6,57.2,35.4,28.6,40.4,37.8,24.9,17.9,34,84.1,190.5,1,23.17,14.93,83.0,6,5,3
162,23.65,16.94,19.09,17.71,8.8,7.26,10.73,8.86,122.4,110.4,98.0,98.0,99.6,56.7,36.4,29.2,40.9,42.1,26.1,19.5,55,87.3,179.1,1,27.22,21.57,122.99,8,7,1
163,22.61,13.97,16.72,16.45,8.14,5.83,10.29,8.36,114.9,102.3,86.5,87.7,91.9,55.0,35.0,28.9,38.3,37.8,24.0,17.3,43,71.8,175.3,1,23.36,14.55,80.28,6,6,2
164,22.61,16.06,17.33,16.45,8.14,6.05,9.9,8.25,111.1,98.5,77.9,87.3,90.8,50.8,35.0,28.4,35.5,35.0,21.0,16.6,24,65.9,170.2,1,22.75,12.54,68.24,5,6,2
165,24.86,17.71,19.8,18.43,8.69,6.22,11.28,8.14,126.0,111.6,89.1,95.1,104.8,62.7,37.9,31.2,41.1,41.2,27.7,18.1,22,95.9,193.0,1,25.75,15.4,87.58,6,6,2
166,21.89,19.09,19.09,16.61,8.14,5.83,11.33,7.87,115.5,106.7,93.9,111.8,111.4,62.8,36.2,29.7,42.8,39.3,23.5,16.8,38,91.4,171.4,1,31.11,28.4,164.07,10,7,0
167,21.78,15.79,17.6,18.1,7.87,6.33,10.78,8.3,124.7,110.4,85.3,82.9,96.5,57.0,39.0,29.8,36.8,36.0,21.6,17.3,24,81.8,177.8,1,25.88,14.71,83.03,6,6,1
168,23.27,16.61,18.92,17.71,8.36,5.88,10.34,8.14,125.3,114.0,98.5,103.8,108.1,61.3,37.2,31.4,41.9,42.1,26.4,17.9,29,96.8,177.8,1,30.62,24.61,142.54,9,7,0
169,22.5,15.95,17.71,16.06,7.59,5.72,10.12,7.92,118.2,101.8,79.5,90.1,95.3,54.8,34.2,28.5,36.6,36.2,22.8,17.3,25,69.1,167.6,1,24.6,15.54,86.46,7,6,1
170,21.89,15.4,18.81,17.33,7.7,6.05,10.84,7.59,124.3,109.6,94.9,94.7,104.3,59.0,35.9,27.8,37.7,36.8,23.2,16.5,37,82.7,167.6,1,29.44,23.31,133.87,9,7,0
171,23.27,14.91,17.44,16.17,7.92,6.38,11.66,8.69,118.3,100.7,76.5,87.2,96.3,54.2,33.8,27.7,36.4,38.2,23.8,18.2,30,75.5,180.3,1,23.22,13.02,71.73,5,6,2
172,23.27,14.74,17.6,15.79,8.25,6.16,10.12,7.92,122.3,104.3,88.4,89.6,98.8,54.8,35.5,29.7,37.7,37.0,23.7,18.3,26,79.5,182.9,1,23.77,13.47,74.79,5,5,2
173,22.28,15.79,16.72,16.06,7.87,6.16,10.18,7.98,116.5,104.2,84.2,84.0,93.2,55.0,33.0,25.4,35.6,36.4,22.8,15.9,35,73.6,176.5,1,23.63,13.4,74.02,6,5,2
174,23.49,15.68,20.19,16.94,8.69,7.1,10.62,8.8,123.0,107.4,87.6,89.4,106.7,60.9,38.3,31.2,39.0,42.6,25.8,18.8,29,91.8,186.7,1,26.34,16.43,93.51,6,7,1
175,23.98,16.94,18.32,16.34,7.87,6.0,10.78,8.47,117.6,101.0,83.7,91.1,99.9,56.8,33.5,27.7,38.7,41.8,29.3,18.0,30,84.1,188.0,1,23.79,13.9,77.44,6,5,2
176,23.38,17.22,18.21,17.6,8.14,6.22,11.06,8.53,117.5,103.0,92.1,91.3,103.8,56.6,33.3,27.7,37.1,37.4,22.6,17.1,37,85.9,188.0,1,24.3,15.12,84.73,6,5,2
177,22.71,16.94,18.32,15.57,7.15,5.78,10.84,7.37,117.3,107.2,89.9,94.7,107.1,59.2,35.3,26.9,36.6,32.3,22.0,17.1,34,81.8,177.8,1,25.88,18.0,101.74,7,4,1
178,22.71,13.59,19.47,16.61,8.14,6.22,11.22,8.8,114.5,99.0,88.7,91.0,100.0,57.5,34.0,28.3,40.9,38.8,26.4,18.1,28,82.5,174.0,1,27.25,18.97,107.99,8,7,0
179,23.27,14.63,18.32,15.79,7.81,6.11,10.73,7.87,122.9,100.3,83.9,89.4,103.9,59.8,36.1,29.4,37.0,36.5,24.3,18.7,27,80.5,177.8,1,25.46,16.18,91.11,7,6,1
180,20.3,14.25,17.44,15.02,8.14,5.83,10.67,7.87,115.5,100.2,79.5,88.7,95.3,52.5,34.6,25.8,35.6,35.1,21.8,16.3,32,70.0,171.4,1,23.83,14.76,81.62,6,7,1
181,22.16,15.68,19.31,17.6,8.14,6.6,11.66,8.91,116.1,99.8,84.5,92.6,99.5,59.2,34.3,29.0,36.5,38.5,24.5,17.3,28,81.8,185.4,1,23.8,14.22,79.19,6,6,2
182,22.06,14.52,17.6,17.93,8.14,6.6,11.0,8.36,121.6,107.5,89.2,88.4,107.0,56.9,35.6,28.5,37.0,37.6,23.0,17.5,22,84.1,185.4,1,24.47,13.61,76.16,5,6,2
183,23.76,17.22,18.7,17.93,8.63,6.33,11.28,8.36,131.6,110.1,90.7,91.9,101.7,58.0,36.8,29.0,36.9,38.9,24.2,17.9,44,90.5,188.0,1,25.61,16.98,96.2,7,6,2
184,24.75,15.95,18.32,16.94,8.47,6.05,10.34,8.25,124.5,107.0,88.8,97.5,103.8,61.0,36.7,28.6,38.4,39.5,24.4,16.8,25,91.4,188.0,1,25.86,16.81,95.41,7,5,1
185,23.16,16.34,19.58,17.22,7.87,6.05,10.01,8.14,115.6,105.6,103.6,100.7,100.6,55.3,33.6,26.9,37.8,37.9,23.9,17.1,49,89.1,182.9,1,26.63,20.73,118.01,8,4,1
186,22.5,15.79,18.43,16.61,8.69,6.38,10.62,9.24,117.0,103.6,98.5,99.9,103.6,57.5,33.7,29.0,38.7,36.7,24.3,17.7,54,85.0,176.5,1,27.29,22.49,128.11,8,6,0
187,22.71,15.02,17.71,15.57,7.59,6.27,9.9,7.15,108.6,97.1,82.9,88.1,91.2,51.7,30.7,25.7,33.9,33.4,21.2,16.7,49,69.1,175.3,1,22.49,14.26,78.02,6,4,2
188,23.16,16.34,18.1,16.94,8.42,6.33,10.56,8.03,120.2,109.8,90.5,92.3,95.2,52.4,35.8,28.7,32.5,36.5,23.7,17.5,60,73.6,175.3,1,23.95,17.29,96.27,7,7,2
189,24.86,16.34,18.59,17.6,8.53,6.49,10.78,8.86,116.2,103.3,84.5,94.5,98.2,53.7,32.5,27.8,36.0,36.3,22.0,17.7,42,80.5,188.0,1,22.78,14.23,78.61,6,5,3
190,23.16,17.11,19.2,17.22,8.36,6.05,10.45,7.92,115.4,103.7,86.0,93.8,97.1,53.1,33.9,27.3,35.7,36.6,22.6,17.5,52,82.7,188.0,1,23.4,15.62,86.98,6,4,3
191,22.66,16.39,17.71,16.39,8.58,6.16,10.78,8.14,120.0,108.5,84.2,88.9,97.5,58.8,36.6,29.9,34.2,34.8,22.0,18.1,23,86.4,175.3,1,28.12,18.68,107.02,7,7,0
192,22.94,16.06,18.59,16.34,7.59,5.88,10.23,7.81,110.3,97.8,85.7,89.5,94.9,51.7,32.2,26.4,34.4,32.6,22.0,16.4,33,67.7,170.5,1,23.29,14.46,79.54,6,5,2
193,23.65,16.17,18.59,17.33,7.81,6.16,10.67,7.81,119.7,112.7,112.1,105.9,106.3,56.9,35.7,27.8,37.3,36.6,22.7,16.4,46,92.7,179.1,1,28.9,24.26,139.42,9,5,0
194,22.94,15.68,18.59,18.1,8.58,6.6,10.12,8.97,123.5,111.4,99.7,102.9,105.8,57.8,36.5,30.5,39.0,41.2,25.7,18.8,43,93.6,177.8,1,29.61,24.49,141.13,9,7,0
195,20.9,16.34,18.7,15.02,7.21,5.94,9.52,8.53,107.8,95.1,84.7,92.9,96.7,54.6,32.8,25.3,36.6,35.0,23.5,17.1,56,70.9,175.3,1,23.07,16.61,91.79,7,4,2
196,23.05,15.29,18.32,15.79,8.3,6.22,10.56,8.2,118.7,100.2,80.3,92.4,96.4,53.8,35.7,29.2,38.4,37.0,25.6,17.9,21,75.0,182.9,1,22.42,12.08,65.93,5,6,3
197,22.39,15.4,19.41,17.44,7.92,5.88,10.23,7.92,120.7,106.3,98.6,111.7,118.7,70.0,37.1,27.8,37.5,39.2,25.7,15.9,18,93.2,170.8,1,31.95,27.95,162.04,10,7,0
198,22.71,16.34,19.09,17.6,8.53,6.16,10.12,8.58,118.7,109.5,90.0,96.2,104.3,63.5,39.4,29.9,37.4,37.3,24.3,17.2,21,93.2,188.0,1,26.37,16.73,95.33,7,5,1
199,22.5,15.79,18.1,16.83,8.25,6.05,10.29,7.59,118.0,106.3,86.6,93.9,95.9,53.6,34.4,28.6,35.0,34.1,21.7,17.1,45,77.7,180.3,1,23.9,16.05,89.41,6,5,2
200,22.94,14.74,17.6,15.29,7.7,5.78,10.12,8.03,105.0,91.5,80.2,85.7,89.2,48.5,28.7,25.0,35.4,32.3,23.0,16.2,22,61.4,177.8,1,19.42,7.89,39.9,3,4,4
201,22.71,17.11,19.2,16.61,8.25,6.38,10.34,8.69,110.6,104.9,109.2,104.4,101.7,56.4,34.0,29.2,39.3,38.5,24.3,17.4,55,94.1,185.4,1,27.38,22.59,129.17,8,5,1
202,22.61,15.29,17.6,16.83,8.14,6.27,9.68,7.81,123.1,109.6,88.4,92.0,95.1,52.5,39.4,29.8,34.5,34.0,22.0,17.0,42,75.0,168.9,1,26.29,19.03,107.46,8,7,0
203,23.87,15.02,19.09,17.22,7.7,6.16,11.11,7.87,121.0,102.5,81.0,84.5,105.0,56.0,31.5,26.5,38.5,36.9,21.3,16.6,29,83.6,185.4,1,24.32,13.5,75.45,5,4,2
204,22.39,15.29,18.7,16.17,8.58,6.6,11.66,9.02,111.7,101.2,88.8,90.8,101.3,62.5,35.2,28.9,40.6,39.2,23.0,17.5,40,85.5,180.3,1,26.3,18.24,103.49,7,7,1
205,23.38,13.86,16.83,16.72,8.42,6.27,10.39,7.59,111.0,98.7,78.1,78.6,92.0,56.5,35.7,29.2,36.4,37.0,22.0,17.2,24,73.9,174.0,1,24.41,12.82,71.13,5,7,1
206,22.16,15.57,16.83,16.06,7.1,5.83,11.11,7.81,112.0,96.0,81.5,80.5,89.5,52.0,30.3,25.0,36.0,35.0,22.4,16.7,62,66.8,167.6,1,23.78,16.08,88.94,7,6,1
207,21.89,15.29,18.1,16.34,9.13,6.49,11.44,8.42,115.9,104.2,87.6,89.6,100.5,60.7,36.5,31.1,40.7,38.4,22.9,17.9,26,87.3,182.9,1,26.1,16.24,92.13,6,7,1
208,21.89,15.57,16.72,16.61,7.1,6.05,10.23,6.99,121.0,103.0,92.5,88.5,94.0,55.0,36.0,28.0,36.5,37.0,21.8,17.5,35,72.3,160.0,1,28.24,21.19,120.63,9,7,0
209,22.28,16.45,19.2,18.1,7.98,6.44,11.22,8.25,123.6,107.0,97.0,95.5,104.5,56.6,34.4,28.9,40.0,38.5,24.0,17.0,37,88.6,180.3,1,27.25,19.78,112.91,8,6,1
210,22.61,14.74,17.82,17.11,7.92,6.49,11.22,8.36,120.0,101.0,82.0,82.0,98.0,59.0,35.4,29.0,38.0,42.0,23.6,17.5,34,75.5,167.6,1,26.88,17.82,100.91,7,8,0
211,23.38,16.17,18.81,19.09,8.3,6.49,11.99,8.69,128.7,112.1,99.5,97.8,107.4,60.5,35.5,28.8,42.9,38.7,25.7,17.1,25,101.4,186.7,1,29.09,20.56,118.91,8,6,0
212,23.38,16.17,18.92,18.7,7.98,6.05,11.72,7.92,124.5,103.4,93.8,92.7,112.2,66.2,34.8,30.1,45.7,43.6,26.9,17.0,30,91.1,175.3,1,29.65,22.33,128.76,8,8,0
213,21.18,13.42,16.72,16.45,7.87,5.56,10.07,7.26,112.4,100.3,79.1,80.4,94.3,51.0,32.6,27.2,36.1,32.7,22.5,17.9,32,67.3,175.3,1,21.9,10.68,57.34,4,5,2
214,24.09,16.06,19.58,15.57,8.14,7.04,11.38,7.87,112.2,95.7,85.8,94.7,106.8,60.6,33.6,27.3,37.5,41.8,26.2,17.8,27,77.7,175.9,1,25.11,17.08,95.9,7,7,1
215,22.83,15.95,18.32,17.82,8.42,6.05,11.33,8.25,127.0,108.0,90.8,92.4,100.3,56.5,36.8,29.3,37.5,36.3,23.4,16.7,42,81.8,175.3,1,26.62,19.19,108.87,8,7,1
216,22.16,15.29,18.43,16.45,8.42,6.16,11.22,7.59,115.3,101.0,85.4,86.9,101.8,57.0,34.0,27.1,39.4,37.1,23.7,16.6,44,75.5,179.1,1,23.54,14.72,81.55,6,6,2
217,22.16,16.61,17.71,16.06,7.98,6.33,11.0,9.29,111.5,98.6,91.6,102.1,106.7,57.8,32.3,27.9,41.8,41.5,27.7,18.1,46,84.5,181.6,1,25.62,20.06,113.42,8,6,1
218,23.16,14.91,17.71,16.83,7.54,5.94,10.39,7.87,118.3,101.6,79.7,82.0,98.4,58.1,36.5,31.0,38.0,38.1,25.3,17.7,19,76.6,177.8,1,24.23,12.54,69.61,5,6,2
219,23.16,17.22,19.31,17.11,9.19,6.6,11.55,8.3,118.0,99.0,86.1,90.8,101.3,56.0,33.5,28.3,37.7,38.3,25.2,17.4,43,85.0,182.9,1,25.41,17.32,97.78,7,7,1
220,21.39,16.17,18.32,18.43,7.81,7.04,11.33,8.53,127.0,116.7,113.2,102.9,107.9,57.7,37.4,28.9,37.8,37.4,24.1,17.1,28,102.5,177.8,1,32.42,26.42,154.02,9,6,0
221,24.42,13.2,16.61,17.6,7.81,6.16,11.11,7.98,124.4,105.0,79.5,85.8,92.7,51.8,36.2,27.0,33.9,28.9,20.3,15.8,39,77.3,184.2,1,22.78,12.51,68.71,5,4,3
222,22.5,13.42,15.79,15.95,7.87,6.27,9.79,8.03,112.4,95.1,85.4,84.1,94.3,52.7,31.2,25.9,37.4,34.4,24.5,17.1,30,71.8,179.1,1,22.38,11.73,63.76,5,4,2
223,23.16,15.79,18.43,16.17,7.87,6.33,9.9,7.59,125.8,106.7,97.9,94.7,104.6,60.8,36.2,28.7,37.7,39.4,22.6,17.5,36,87.9,176.5,1,28.22,21.06,120.62,8,6,0
224,23.65,14.91,18.43,17.33,8.36,6.49,10.62,8.3,131.7,116.6,94.7,93.1,103.3,58.0,42.3,31.9,39.9,39.6,25.5,18.9,48,94.3,188.0,1,26.68,18.54,105.8,7,6,1
225,20.9,14.91,17.71,15.4,7.65,5.67,10.51,7.7,117.3,103.5,86.1,90.5,96.7,55.2,34.5,27.7,37.3,34.8,22.5,16.4,48,70.9,174.0,1,23.42,15.67,86.66,6,6,2
226,20.41,13.31,16.83,15.29,7.59,6.05,9.79,8.03,107.6,90.4,84.9,83.7,97.9,51.8,28.0,25.2,37.5,36.0,21.3,15.1,53,64.5,167.6,1,22.96,15.26,83.75,6,5,2
227,22.61,13.2,16.17,16.94,7.48,6.44,10.34,8.03,122.4,107.5,92.2,88.6,97.5,53.7,34.3,27.6,36.0,37.5,23.3,16.7,45,77.3,170.2,1,26.68,19.21,108.82,8,6,0
228,22.5,13.42,16.83,16.45,7.59,6.33,10.45,8.3,117.0,100.8,83.7,82.5,97.7,53.3,32.5,27.1,35.4,37.0,22.7,16.6,39,72.3,167.6,1,25.74,16.91,94.99,7,6,0
229,21.39,14.91,17.44,16.34,8.25,6.71,11.28,8.36,119.0,104.2,97.8,93.6,102.5,58.0,35.8,29.4,39.0,38.1,23.0,17.0,43,87.3,188.0,1,24.7,16.41,92.34,6,5,2
230,22.5,15.57,18.7,15.68,7.87,6.6,10.45,7.87,123.5,104.9,98.6,99.2,103.3,55.3,35.0,29.3,35.9,36.0,23.5,18.1,65,80.0,174.0,1,26.42,22.4,126.93,8,6,1
231,21.56,14.74,18.7,16.94,7.81,6.16,10.51,7.98,121.4,112.8,89.5,96.9,100.9,54.9,38.5,28.7,35.9,33.6,22.1,17.1,45,82.3,176.5,1,26.42,19.72,111.83,8,6,1
232,22.94,14.63,17.33,16.45,8.03,6.16,10.56,8.14,112.3,95.7,82.9,89.6,94.8,51.9,32.2,25.3,33.4,32.8,21.4,16.3,37,73.6,180.3,1,22.64,13.51,74.12,5,4,2
233,21.67,14.63,17.44,17.11,7.59,6.49,11.0,8.69,113.2,104.9,90.1,90.8,96.6,55.0,32.9,26.5,35.6,37.9,22.5,17.8,55,74.1,167.6,1,26.38,20.35,114.96,8,7,0
234,22.06,14.52,17.6,16.61,8.69,6.82,11.38,8.69,121.7,109.1,78.9,91.0,98.1,55.7,38.5,30.1,37.2,36.8,23.4,19.6,33,85.9,188.0,1,24.3,14.35,80.4,6,6,2
235,21.39,14.08,18.1,15.95,8.58,5.83,11.11,8.14,116.6,105.4,80.7,87.4,95.5,56.8,38.3,28.6,35.0,34.3,23.3,17.3,25,73.2,180.3,1,22.52,11.59,63.12,5,7,2
236,21.39,14.52,17.44,15.29,7.92,6.22,10.78,8.14,117.8,104.3,94.3,99.4,100.4,59.1,35.0,26.7,35.5,35.9,22.6,17.3,35,76.3,167.6,1,27.16,21.25,120.6,8,7,0
237,22.94,14.52,17.11,15.57,8.03,5.61,10.12,8.42,118.0,100.5,70.2,79.3,92.0,51.7,32.1,26.7,33.2,34.9,23.7,18.4,28,65.9,183.0,1,19.68,7.04,35.44,2,4,4
238,23.76,14.74,17.93,18.1,8.47,6.6,11.28,9.24,131.1,111.8,83.6,92.7,101.5,59.5,40.4,31.7,36.7,38.3,25.5,19.4,26,90.9,183.0,1,27.14,17.73,101.28,7,7,1
239,22.28,16.06,18.43,17.11,8.36,6.22,11.0,8.86,121.4,109.5,91.9,96.5,103.3,57.7,36.5,29.1,34.6,38.8,25.1,18.9,43,89.1,179.1,1,27.78,21.07,120.53,8,7,0
240,21.56,12.93,16.45,15.95,8.47,6.33,10.45,8.14,116.3,101.2,71.8,82.3,87.6,50.1,34.2,29.2,34.1,33.4,23.1,18.3,30,62.3,170.2,1,21.51,10.46,55.56,4,7,2
241,22.5,13.97,17.6,16.61,8.86,6.33,10.62,8.69,121.8,103.3,85.0,90.8,97.9,55.2,35.2,29.4,34.9,37.3,23.5,17.3,26,82.7,177.8,1,26.16,16.92,95.81,7,7,1
242,22.94,15.02,17.33,16.34,8.2,6.49,10.39,7.48,118.2,101.6,85.7,91.0,95.9,50.9,34.0,28.4,35.0,34.3,21.1,16.3,51,79.1,179.1,1,24.66,17.22,96.52,7,5,1
243,24.09,17.71,20.9,17.6,8.8,5.88,11.55,9.24,126.3,103.1,96.5,99.0,111.8,62.3,34.8,27.5,41.7,37.0,24.3,16.7,30,98.2,190.5,1,27.06,18.96,108.61,7,5,1
